Day,Exp_Nr,ESB [KBE/ml],Essigsäure [mg/l],Ethanol [g/L],Fructose [g/l],Glucose [g/l],Saccharose [g/l],Hefe [KBE/ml],pH,avg_gray_intensity,std_gray_intensity
1.0,6.0,4.011,453.307,0.716,0.97,0.369,88.966,5.857,4.51,86.69642758554816,83.50840260747204
2.0,6.0,4.591,627.826,1.127,0.964,0.143,88.362,6.32,4.339,88.8671307639038,80.84108606235456
3.0,6.0,4.987,797.479,1.673,1.323,0.53,86.414,6.69,4.19,90.52347965470307,73.91596112558567
4.0,6.0,5.228,976.675,2.32,1.971,1.404,83.385,6.975,4.058,96.5429788010125,73.83102151717556
5.0,6.0,5.344,1179.827,3.033,2.835,2.637,79.543,7.185,3.942,99.9447221087948,72.05905679562598
6.0,6.0,5.365,1421.346,3.779,3.838,4.103,75.152,7.327,3.838,103.45458201399337,69.6716881836772
7.0,6.0,5.319,1715.642,4.523,4.904,5.674,70.478,7.411,3.744,104.33664950927717,69.30489602008001
8.0,6.0,5.237,2077.127,5.232,5.96,7.222,65.786,7.446,3.657,105.10083995391265,68.319978717533
9.0,6.0,5.147,2520.212,5.87,6.929,8.621,61.344,7.441,3.574,106.95083035437113,67.07193616802066
10.0,6.0,5.081,3059.308,6.404,7.736,9.743,57.415,7.403,3.493,107.6815067757958,66.65119828330151
